10.1.1.0 - - [12/Feb/2024:13:54:47 +0000] "GET /api/users/current HTTP/1.1" 200 20 "https://ticketing.com/auth/signin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/106.0.0.0"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:53 +0000] "POST /api/users/signin HTTP/1.1" 400 49 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:53 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:53 +0000] "POST /api/users/signin HTTP/1.1" 400 49 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:53 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:53 +0000] "POST /api/users/signin HTTP/1.1" 200 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:12:01:55 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:23 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:23 +0000] "POST /api/users/signout HTTP/1.1" 200 2 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 400 63 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 400 83 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 400 63 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 201 135 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 400 39 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:43 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:45 +0000] "POST /api/users/signin HTTP/1.1" 400 49 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:45 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:45 +0000] "POST /api/users/signin HTTP/1.1" 400 49 "-" "-"
::ffff:127.0.0.1 - - [16/Mar/2024:22:15:45 +0000] "POST /api/users/signup HTTP/1.1" 201 137 "-" "-"
